source,target,fold_1,fold_2,fold_3,fold_4,fold_5,mean,std
imagenet,isic,0.944470210266052,0.9288494204341423,0.9488176795503127,0.9440328014279393,0.9332180066258865,0.9398776236608665,0.00753994321956145
imagenet,chest,0.986968472706477,0.9828197607842847,0.9834292511026235,0.9821970538159746,0.9865645125471907,0.9843958101913101,0.0019786136625796185
imagenet,pcam-middle,0.9606828551707138,0.9600592350148087,0.9597995749498938,0.960680820170205,0.9598478385756543,0.9602140647762551,0.0003917960522800558
stl10,isic,0.899752476816109,0.891540224188287,0.8996751962566599,0.8979507664422316,0.8997252813265938,0.8977287890059763,0.0031691451090041923
stl10,chest,0.9810467282823251,0.971302240708043,0.9715608123582472,0.9774853801169592,0.9833111259160559,0.976941257476326,0.0048677280882987095
stl10,pcam-middle,0.8803237150809289,0.8750134137533535,0.8851542812885703,0.8810482952620737,0.8726978946316631,0.8788475200033179,0.004456816453559411
textures,isic,0.8997624852386527,0.8944240067799968,0.9070182813121378,0.9055840962140153,0.8996212290560024,0.901282019720161,0.004549991458644083
textures,chest,0.9747929234231741,0.971752894155542,0.9783243079514476,0.9832556073728626,0.9813087571248797,0.9778868980055812,0.004193379770835947
textures,pcam-middle,0.9219436354859087,0.9145956286489072,0.9172373693093423,0.9163039690759922,0.9166104766576763,0.9173382158355654,0.0024633763547117203
isic,isic,0.8720408505213191,0.8638517848727589,0.8840615702236182,0.8662853265878648,0.8780487671532178,0.8728576598717558,0.007449076839277142
isic,chest,0.93462836902983,0.91654784683693,0.9274041622647923,0.9373750832778148,0.935183951439781,0.9302278825698297,0.007617429378774204
isic,pcam-middle,0.8312330928082731,0.8273886418471604,0.8338438434609607,0.8319310829827706,0.8240883318541331,0.8296969985906596,0.0035023618976764634
chest,isic,0.8995142384606281,0.8891427685844993,0.9027153498950885,0.9053881759181643,0.8887382385346173,0.8970997542785994,0.006917964269080627
chest,chest,0.9644326378512,0.9569367385988372,0.9629669988696725,0.9415389740173218,0.9717096010067363,0.9595169900687536,0.010144877270091049
chest,pcam-middle,0.7818971454742863,0.7792654048163512,0.7863094965773741,0.787417791854448,0.781999575119932,0.7833778827684783,0.0030305119951121555
pcam-middle,isic,0.9132744751547469,0.8981939338262174,0.9084137357261934,0.9074749695667939,0.8955016435463756,0.9045717515640653,0.006661386244904029
pcam-middle,chest,0.9674470086889148,0.9396604584844745,0.9709106893520194,0.9759419646161818,0.9787086386853209,0.9665337519653823,0.013992196776536684
pcam-middle,pcam-middle,0.9159153589788396,0.9048680162170042,0.8946820036705008,0.9106572026643006,0.8871861969497915,0.9026617556960874,0.010465391713492185
pcam-small,isic,0.9033763930656373,0.886475155914933,0.6888317012982244,0.8109497157626144,0.8955572449355569,0.8370380421953932,0.08113571637280065
pcam-small,chest,0.9655505746490306,0.9577900250445114,0.9577678617602079,0.9541453845584427,0.947903249685395,0.9566314191395175,0.005736663044562821
pcam-small,pcam-middle,0.8938685084671271,0.8934651033662758,0.8720586580146646,0.8812884753221188,0.8740363948458232,0.8829434280032018,0.009280251735117807
kimia,isic,0.8890097464088289,0.8920206348268157,0.8854686037047318,0.8881979866386079,0.8888859941616782,0.8887165931481326,0.0020904408668166946
kimia,chest,0.9744682421089527,0.9713354856344978,0.9628580293885148,0.9718928121992745,0.9783477681545637,0.9717804674971606,0.005102432797819631
kimia,pcam-middle,0.8912216228054056,0.8791702747925686,0.8835347008836753,0.8800706450176612,0.8921001027360164,0.8852194692470654,0.005464623563962385
